"","word","freq"
"1","的","942"
"2","ebay","494"
"3","在","391"
"4","了","293"
"5","是","263"
"6","上","189"
"7","不","151"
"8","我","146"
"9","你","143"
"10","和","142"
"11","有","122"
"12","就","108"
"13","一个","94"
"14","公司","89"
"15","这","89"
"16","c","83"
"17","支付","82"
"18","卖","79"
"19","要","73"
"20","还","72"
"21","t","70"
"22","将","69"
"23","cn","68"
"24","","68"
"25","会","68"
"26","2","65"
"27","paypal","65"
"28","眼镜","65"
"29","也","65"
"30","能","60"
"31","美国","59"
"32","淘","59"
"33","店","58"
"34","与","58"
"35","谷歌","57"
"36","人民币","57"
"37","宝","56"
"38","广告","56"
"39","他","55"
"40","可以","54"
"41","免费","54"
"42","到","53"
"43","报刊","51"
"44","iphone","49"
"45","啊","49"
"46","拍卖","49"
"47","网站","49"
"48","这个","49"
"49","都","48"
"50","而","48"
"51","为","48"
"52","人","47"
"53","但","44"
"54","对","44"
"55","给","42"
"56","市场","42"
"57","天","42"
"58","大","40"
"59","后","40"
"60","猫","40"
"61","投资","39"
"62","只","39"
"63","等","37"
"64","买","37"
"65","所以","37"
"66","推出","37"
"67","平台","36"
"68","出售","35"
"69","高","35"
"70","媒体","35"
"71","一","35"
"72","自己","35"
"73","不过","34"
"74","很","34"
"75","价格","34"
"76","收入","34"
"77","销售","34"
"78","阿里","33"
"79","多","33"
"80","二","33"
"81","互联网","33"
"82","看","33"
"83","约","33"
"84","被","32"
"85","超过","32"
"86","零售商","32"
"87","如果","32"
"88","手机","32"
"89","推","32"
"90","中国","32"
"91","做","32"
"92","得","31"
"93","地方","31"
"94","购","31"
"95","来","31"
"96","让","31"
"97","数据","31"
"98","用","31"
"99","4","30"
"100","本地","30"
"101","网上","30"
"102","已经","30"
"103","中","30"
"104","好","29"
"105","京东","29"
"106","唐","29"
"107","craigslist","28"
"108","org","28"
"109","s","28"
"110","吃掉","28"
"111","份额","28"
"112","黄页","28"
"113","就要","28"
"114","抗衡","28"
"115","内","28"
"116","去","28"
"117","什么","28"
"118","时间","28"
"119","苏宁易","28"
"120","3","27"
"121","5","27"
"122","a","27"
"123","galaxy","27"
"124","变为","27"
"125","传统","27"
"126","过","27"
"127","家","27"
"128","牺牲品","27"
"129","则","27"
"130","0","26"
"131","10","26"
"132","google","26"
"133","从","26"
"134","拍","26"
"135","全球","26"
"136","系统","26"
"137","开发者","25"
"138","前","25"
"139","天使","25"
"140","现身","25"
"141","用户","25"
"142","真","25"
"143","u","24"
"144","成为","24"
"145","大多一","24"
"146","东西","24"
"147","歌","24"
"148","个","24"
"149","更","24"
"150","还有","24"
"151","活动","24"
"152","或","24"
"153","说","24"
"154","现在","24"
"155","已","24"
"156","优","24"
"157","岳母","24"
"158","并","23"
"159","抵挡","23"
"160","龚文祥","23"
"161","谷","23"
"162","价","23"
"163","太","23"
"164","投","23"
"165","567万元","22"
"166","把","22"
"167","创","22"
"168","服务","22"
"169","竞价","22"
"170","据","22"
"171","男子","22"
"172","他们","22"
"173","这件","22"
"174","ifihadglass","21"
"175","产品","21"
"176","第三方","21"
"177","二手","21"
"178","发布","21"
"179","仅","21"
"180","卖家","21"
"181","没","21"
"182","其","21"
"183","钱","21"
"184","然后","21"
"185","网","21"
"186","一下","21"
"187","应该","21"
"188","1","20"
"189","enzo","20"
"190","glass","20"
"191","改装","20"
"192","看到","20"
"193","信息","20"
"194","宣布","20"
"195","要不","20"
"196","7月","19"
"197","amazon","19"
"198","v","19"
"199","出","19"
"200","碟","19"
"201","价值","19"
"202","售价","19"
"203","以","19"
"204","约合","19"
"205","吧","18"
"206","比","18"
"207","创办","18"
"208","达","18"
"209","拿","18"
"210","苹果","18"
"211","其他","18"
"212","外资","18"
"213","新","18"
"214","遗骸","18"
"215","着","18"
"216","阿里巴巴","17"
"217","发","17"
"218","功能","17"
"219","获得","17"
"220","进行","17"
"221","乐","17"
"222","狸","17"
"223","虽然","17"
"224","未","17"
"225","想","17"
"226","报道","16"
"227","点","16"
"228","接受","16"
"229","她","16"
"230","款","16"
"231","哦","16"
"232","人脸","16"
"233","日前","16"
"234","识别","16"
"235","亚马逊","16"
"236","一位","16"
"237","正","16"
"238","z","15"
"239","发现","15"
"240","分别","15"
"241","国外","15"
"242","货","15"
"243","加上","15"
"244","吗","15"
"245","没有","15"
"246","设备","15"
"247","视频","15"
"248","受","15"
"249","体验","15"
"250","微","15"
"251","想要","15"
"252","消息","15"
"253","讯","15"
"254","英国","15"
"255","游戏","15"
"256","自","15"
"257","当","14"
"258","电脑","14"
"259","积木","14"
"260","纪念","14"
"261","既","14"
"262","巨头","14"
"263","其中","14"
"264","汽车","14"
"265","商品","14"
"266","搜索","14"
"267","挑战","14"
"268","通过","14"
"269","我们","14"
"270","消费者","14"
"271","一直","14"
"272","于","14"
"273","再","14"
"274","曾经","14"
"275","00","13"
"276","6","13"
"277","i","13"
"278","帮","13"
"279","包","13"
"280","包括","13"
"281","本","13"
"282","法拉利","13"
"283","刚","13"
"284","公布","13"
"285","贵","13"
"286","技术","13"
"287","开始","13"
"288","买下","13"
"289","那","13"
"290","牌","13"
"291","商","13"
"292","售","13"
"293","它","13"
"294","头","13"
"295","下","13"
"296","鞋","13"
"297","移动","13"
"298","员工","13"
"299","原厂","13"
"300","正式","13"
"301","智能","13"
"302","终于","13"
"303","最","13"
"304","最大","13"
"305","10","12"
"306","12","12"
"307","12万","12"
"308","90","12"
"309","920","12"
"310","newton","12"
"311","办法","12"
"312","盾","12"
"313","方面","12"
"314","搞","12"
"315","剑","12"
"316","今天","12"
"317","难","12"
"318","旗下","12"
"319","商店","12"
"320","实现","12"
"321","收","12"
"322","收到","12"
"323","谁","12"
"324","速","12"
"325","透明","12"
"326","相同","12"
"327","业务","12"
"328","一样","12"
"329","以及","12"
"330","应用","12"
"331","拥有","12"
"332","有人","12"
"333","在线","12"
"334","这些","12"
"335","之","12"
"336","转售","12"
"337","仔细","12"
"338","总裁","12"
"339","最高","12"
"340","000美元","11"
"341","zq","11"
"342","帮助","11"
"343","宝马","11"
"344","成功","11"
"345","等待","11"
"346","电商","11"
"347","电子商务","11"
"348","发售","11"
"349","购买","11"
"350","关注","11"
"351","硅谷","11"
"352","后果","11"
"353","可","11"
"354","民间","11"
"355","能够","11"
"356","拍照","11"
"357","三星","11"
"358","商场","11"
"359","收藏","11"
"360","手动","11"
"361","说明","11"
"362","外","11"
"363","悉尼","11"
"364","下降","11"
"365","宣传","11"
"366","也许","11"
"367","一台","11"
"368","赢家","11"
"369","邮件","11"
"370","真正","11"
"371","1775美元","10"
"372","1日","10"
"373","350万美元","10"
"374","400匹","10"
"375","850","10"
"376","8月","10"
"377","94800元","10"
"378","jaffray","10"
"379","note","10"
"380","piper","10"
"381","twitter","10"
"382","x","10"
"383","版本","10"
"384","变速箱","10"
"385","标价","10"
"386","标签","10"
"387","博","10"
"388","参加","10"
"389","查看","10"
"390","迟早","10"
"391","筹","10"
"392","创业","10"
"393","大家","10"
"394","第一家","10"
"395","而已","10"
"396","发动机","10"
"397","高手","10"
"398","个人","10"
"399","盒","10"
"400","黑","10"
"401","花","10"
"402","接近","10"
"403","近日","10"
"404","竞标","10"
"405","举办","10"
"406","觉得","10"
"407","里","10"
"408","录","10"
"409","马力","10"
"410","么","10"
"411","莓","10"
"412","美国市场","10"
"413","名","10"
"414","冥王星","10"
"415","目前","10"
"416","匹敌","10"
"417","片","10"
"418","起","10"
"419","人士","10"
"420","上线","10"
"421","升","10"
"422","输出","10"
"423","速度","10"
"424","提供","10"
"425","贴","10"
"426","偷","10"
"427","外观","10"
"428","完全","10"
"429","限制","10"
"430","央行","10"
"431","以假乱真","10"
"432","以为","10"
"433","硬件","10"
"434","震惊","10"
"435","直接","10"
"436","主机","10"
"437","2006年","9"
"438","32","9"
"439","3月","9"
"440","458","9"
"441","7","9"
"442","bbc","9"
"443","retail","9"
"444","爱","9"
"445","拔","9"
"446","备","9"
"447","便宜","9"
"448","表示","9"
"449","不久","9"
"450","采访","9"
"451","采用","9"
"452","层","9"
"453","成","9"
"454","出来","9"
"455","创立","9"
"456","打","9"
"457","但是","9"
"458","当年","9"
"459","地","9"
"460","放在","9"
"461","否则","9"
"462","各种各样","9"
"463","工作","9"
"464","够","9"
"465","国内","9"
"466","获","9"
"467","计划","9"
"468","监管","9"
"469","交还","9"
"470","叫","9"
"471","近期","9"
"472","竞争","9"
"473","看过","9"
"474","科技","9"
"475","来自","9"
"476","立即","9"
"477","美","9"
"478","们","9"
"479","面临","9"
"480","命令","9"
"481","墓地","9"
"482","尼斯","9"
"483","配","9"
"484","品牌","9"
"485","平板","9"
"486","其实","9"
"487","商业银行","9"
"488","时说","9"
"489","所有","9"
"490","添","9"
"491","透露","9"
"492","新丁","9"
"493","星","9"
"494","许可证","9"
"495","妖精","9"
"496","一具","9"
"497","依靠","9"
"498","以来","9"
"499","因为","9"
"500","有望","9"
"501","又","9"
"502","愚人节","9"
"503","在即","9"
"504","曾","9"
"505","这样","9"
"506","自负","9"
"507","最快","9"
"508","110","8"
"509","246万元","8"
"510","50363","8"
"511","air","8"
"512","associate","8"
"513","evo","8"
"514","hsg","8"
"515","lumia","8"
"516","platform","8"
"517","暴跌","8"
"518","带","8"
"519","发展","8"
"520","公开","8"
"521","狗","8"
"522","话","8"
"523","激情","8"
"524","绝不","8"
"525","里程数","8"
"526","理解","8"
"527","联系","8"
"528","零售","8"
"529","伦敦","8"
"530","模式","8"
"531","如今","8"
"532","三菱","8"
"533","设计","8"
"534","市值","8"
"535","天价","8"
"536","同事","8"
"537","微软","8"
"538","问题","8"
"539","喜欢","8"
"540","显示","8"
"541","限量","8"
"542","银行","8"
"543","由于","8"
"544","月","8"
"545","找到","8"
"546","这么","8"
"547","赚","8"
"548","走","8"
"549","12家","7"
"550","1995年","7"
"551","2005年","7"
"552","24","7"
"553","27","7"
"554","and","7"
"555","apple","7"
"556","youtube","7"
"557","按照","7"
"558","北京","7"
"559","别","7"
"560","不错","7"
"561","才","7"
"562","测试","7"
"563","得到","7"
"564","等等","7"
"565","调查","7"
"566","懂","7"
"567","分享","7"
"568","辅助","7"
"569","感觉","7"
"570","高于","7"
"571","管理","7"
"572","很多","7"
"573","红","7"
"574","厚","7"
"575","回","7"
"576","回复","7"
"577","或者","7"
"578","机会","7"
"579","建立","7"
"580","今年","7"
"581","今日","7"
"582","开","7"
"583","里士满","7"
"584","起来","7"
"585","区的","7"
"586","全","7"
"587","任何","7"
"588","史","7"
"589","事","7"
"590","所","7"
"591","泰晤士河畔","7"
"592","特斯拉","7"
"593","听","7"
"594","图","7"
"595","为什么","7"
"596","西","7"
"597","兴趣","7"
"598","行业","7"
"599","姓名","7"
"600","一把","7"
"601","一家","7"
"602","一张","7"
"603","伊隆马斯克","7"
"604","原来","7"
"605","涨","7"
"606","转发","7"
"607","1185","6"
"608","15亿","6"
"609","1998年","6"
"610","19999美元","6"
"611","2012年","6"
"612","2732","6"
"613","318公斤","6"
"614","375","6"
"615","3554","6"
"616","3亿美元","6"
"617","545公斤","6"
"618","5年","6"
"619","70","6"
"620","ak","6"
"621","b","6"
"622","big","6"
"623","bush","6"
"624","data","6"
"625","emc","6"
"626","facebook","6"
"627","inc","6"
"628","italia","6"
"629","jordan","6"
"630","latitude","6"
"631","sap","6"
"632","spacex","6"
"633","windows","6"
"634","yahoo","6"
"635","yum","6"
"636","zip","6"
"637","爱尔兰","6"
"638","版","6"
"639","办","6"
"640","暴雪","6"
"641","暴雪干","6"
"642","编号","6"
"643","不能","6"
"644","查德","6"
"645","长剑","6"
"646","扯","6"
"647","陈士骏","6"
"648","称","6"
"649","程序","6"
"650","出国","6"
"651","创建","6"
"652","创始人","6"
"653","从未","6"
"654","达到","6"
"655","刀","6"
"656","盾牌","6"
"657","多少","6"
"658","而且","6"
"659","发射","6"
"660","方式","6"
"661","放到","6"
"662","飞船","6"
"663","非常","6"
"664","分析","6"
"665","封底","6"
"666","该","6"
"667","高价","6"
"668","跟","6"
"669","购物","6"
"670","股价","6"
"671","鼓吹","6"
"672","光环","6"
"673","广大","6"
"674","航天","6"
"675","户外","6"
"676","画","6"
"677","纪念品","6"
"678","降","6"
"679","尽管","6"
"680","近","6"
"681","竟然","6"
"682","军品","6"
"683","开价","6"
"684","看来","6"
"685","康柏公司","6"
"686","刻有","6"
"687","历史","6"
"688","两件","6"
"689","另","6"
"690","流","6"
"691","那个","6"
"692","你们","6"
"693","年会","6"
"694","拍卖价","6"
"695","朋友","6"
"696","七天","6"
"697","情况","6"
"698","圈","6"
"699","人生","6"
"700","商业","6"
"701","上涨","6"
"702","使用","6"
"703","屎","6"
"704","世界","6"
"705","收藏家","6"
"706","售出","6"
"707","私密性","6"
"708","私人","6"
"709","搜","6"
"710","图片","6"
"711","为了","6"
"712","侠","6"
"713","相关","6"
"714","小","6"
"715","小时","6"
"716","呀","6"
"717","一枚","6"
"718","异步","6"
"719","邮","6"
"720","账户","6"
"721","找","6"
"722","蜘蛛","6"
"723","直销","6"
"724","中介","6"
"725","重量","6"
"726","准","6"
"727","佩","5"
"728","100亿美元","5"
"729","10万","5"
"730","11","5"
"731","15500美元","5"
"732","1美元","5"
"733","2002年","5"
"734","2003年","5"
"735","29岁","5"
"736","2日","5"
"737","2台","5"
"738","2月","5"
"739","4月","5"
"740","5个","5"
"741","5只","5"
"742","666","5"
"743","95267元","5"
"744","aqeh","5"
"745","barbie","5"
"746","butcher","5"
"747","g","5"
