"","word","freq"
"的","的",942
"ebay","ebay",494
"在","在",391
"了","了",293
"是","是",263
"上","上",189
"不","不",151
"我","我",146
"你","你",143
"和","和",142
"有","有",122
"就","就",108
"一个","一个",94
"公司","公司",89
"这","这",89
"c","c",83
"支付","支付",82
"卖","卖",79
"要","要",73
"还","还",72
"t","t",70
"将","将",69
"cn","cn",68
"http","http",68
"会","会",68
"2","2",65
"paypal","paypal",65
"眼镜","眼镜",65
"也","也",65
"能","能",60
"美国","美国",59
"淘","淘",59
"店","店",58
"与","与",58
"谷歌","谷歌",57
"人民币","人民币",57
"宝","宝",56
"广告","广告",56
"他","他",55
"可以","可以",54
"免费","免费",54
"到","到",53
"报刊","报刊",51
"iphone","iphone",49
"啊","啊",49
"拍卖","拍卖",49
"网站","网站",49
"这个","这个",49
"都","都",48
"而","而",48
"为","为",48
"人","人",47
"但","但",44
"对","对",44
"给","给",42
"市场","市场",42
"天","天",42
"大","大",40
"后","后",40
"猫","猫",40
"投资","投资",39
"只","只",39
"等","等",37
"买","买",37
"所以","所以",37
"推出","推出",37
"平台","平台",36
"出售","出售",35
"高","高",35
"媒体","媒体",35
"一","一",35
"自己","自己",35
"不过","不过",34
"很","很",34
"价格","价格",34
"收入","收入",34
"销售","销售",34
"阿里","阿里",33
"多","多",33
"二","二",33
"互联网","互联网",33
"看","看",33
"约","约",33
"被","被",32
"超过","超过",32
"零售商","零售商",32
"如果","如果",32
"手机","手机",32
"推","推",32
"中国","中国",32
"做","做",32
"得","得",31
"地方","地方",31
"购","购",31
"来","来",31
"让","让",31
"数据","数据",31
"用","用",31
"4","4",30
"本地","本地",30
"网上","网上",30
"已经","已经",30
"中","中",30
"好","好",29
"京东","京东",29
"唐","唐",29
"craigslist","craigslist",28
"org","org",28
"s","s",28
"吃掉","吃掉",28
"份额","份额",28
"黄页","黄页",28
"就要","就要",28
"抗衡","抗衡",28
"内","内",28
"去","去",28
"什么","什么",28
"时间","时间",28
"苏宁易","苏宁易",28
"3","3",27
"5","5",27
"a","a",27
"galaxy","galaxy",27
"变为","变为",27
"传统","传统",27
"过","过",27
"家","家",27
"牺牲品","牺牲品",27
"则","则",27
"0","0",26
"10","10",26
"google","google",26
"从","从",26
"拍","拍",26
"全球","全球",26
"系统","系统",26
"开发者","开发者",25
"前","前",25
"天使","天使",25
"现身","现身",25
"用户","用户",25
"真","真",25
"u","u",24
"成为","成为",24
"大多一","大多一",24
"东西","东西",24
"歌","歌",24
"个","个",24
"更","更",24
"还有","还有",24
"活动","活动",24
"或","或",24
"说","说",24
"现在","现在",24
"已","已",24
"优","优",24
"岳母","岳母",24
"并","并",23
"抵挡","抵挡",23
"龚文祥","龚文祥",23
"谷","谷",23
"价","价",23
"太","太",23
"投","投",23
"56.7万元","56.7万元",22
"把","把",22
"创","创",22
"服务","服务",22
"竞价","竞价",22
"据","据",22
"男子","男子",22
"他们","他们",22
"这件","这件",22
"ifihadglass","ifihadglass",21
